id saoNumber fopNumber
US20040027349A1 64 58
US20050187943A1 41 24
US20020054157A1 6 13
US20030204727A1 39 48
US20020124174A1 3 21
US20050153740A1 15 32
US20040157584A1 1 12
US08205154B2 14 90
US20020116716A1 28 34
US20040218894A1 18 51
US06909438B1 78 77
US10059282B2 6 12
US20020095582A1 15 19
US20040059819A1 8 36
US20020078211A1 8 9
US20030182437A1 22 21
US20040143631A1 20 24
US20020162093A1 32 51
US20050257167A1 8 15
US20040268228A1 9 19
US20040169699A1 8 47
US20050262070A1 21 43
US20040226027A1 12 17
US20060169670A1 11 36
US20020014470A1 9 15
US20040256303A1 2 13
US5385667A 6 21
US20050262139A1 17 33
US20030051070A1 7 7
US20040186905A1 20 56
US20020174227A1 10 24
US20040030777A1 35 59
US09801614B2 26 37
US20020069363A1 3 43
US20010049790A1 18 13
US20010031635A1 24 45
US20040208319A1 16 26
US20030037010A1 24 53
US20040221025A1 11 21
US20020085551A1 13 64
US10693965B2 24 38
US06941350B1 44 35
US20040172467A1 6 5
US20020143579A1 23 29
US20020032581A1 9 32
US20030163685A1 17 68
US06968453B2 47 26
US06976163B1 31 36
US20040088587A1 61 54
US20030154406A1 71 94
US20060059204A1 11 11
US20050050107A1 26 46
US20050071458A1 25 108
US20020083166A1 11 44
US20030097165A1 16 39
US20020111658A1 23 62
US20050156146A1 11 29
US20020056831A1 1 2
US20030097415A1 49 37
US20030084106A1 66 78
US20040114605A1 17 26
US20020144276A1 17 29
US20050165953A1 17 140
US20020069278A1 5 22
US20020196802A1 10 22
US20030145104A1 67 105
US20040019664A1 23 33
US20060059455A1 5 15
US20040243260A1 15 39
US20040177073A1 22 52
US20030061279A1 22 42
US20020026592A1 15 17
US20050216222A1 58 62
US20020065049A1 9 18
US20030207331A1 29 28
US5698397A 3 8
US6159686A 4 7
US20060101126A1 7 30
US20020194284A1 15 22
US20020194280A1 37 32
US20040177122A1 12 37
US07925932B1 4 13
US06883170B1 10 16
US10948703B2 10 28
US20020085952A1 118 301
US20040261376A1 19 28
US20040112023A1 17 114
US20070014024A1 15 29
US20050018314A1 1 2
US20050044370A1 25 20
US20020009208A1 20 35
US20050065797A1 41 122
US20020010715A1 61 78
US20040088166A1 11 20
US08650321B2 15 22
US20030009571A1 75 59
US20060056233A1 2 4
US20030164515A1 4 4
US20060168308A1 15 38
US20020150082A1 34 39
US20030156550A1 4 11
US20060073814A1 16 21
US20050010877A1 15 23
US20050286896A1 7 69
US20020131118A1 30 48
US20050289219A1 20 99
US20020093527A1 1 13
US20030107590A1 28 53
US20040210654A1 27 53
US20050131843A1 9 75
US20030093389A1 14 8
US20030105704A1 17 15
US20050060243A1 16 42
US20060106768A1 5 28
US20020095256A1 16 42
US20060106857A1 23 23
US20040107346A1 4 16
US20040098106A1 37 65
US20030104030A1 2 7
US20050230072A1 6 11
US20020142689A1 8 18
US20050076226A1 9 10
US20010050990A1 3 2
US20050198267A1 44 99
US20020062366A1 13 45
US20020049809A1 18 8
US20020103888A1 12 15
US20020082484A1 14 32
US20050094878A1 4 15
US10722822B2 8 50
US20020154776A1 45 77
US20040151121A1 9 18
US20040059829A1 3 10
US07039696B1 19 32
US20040123608A1 4 6
US5736063A 1 8
US20050156390A1 28 43
US20020017026A1 33 66
US20050006659A1 11 76
US20010000622A1 4 23
US20020080501A1 8 13
US20030098651A1 3 9
US20050093430A1 10 26
US20020100062A1 18 30
US20010042249A1 29 114
US20060154542A1 8 54
US20030104134A1 14 10
US20040128770A1 13 18
US07049252B2 9 24
US20030149791A1 32 54
US20030037100A1 22 78
US20040212841A1 42 63
US08352478B2 10 21
US20040187140A1 17 37
US20050044150A1 15 52
US20020087649A1 23 112
US20020144154A1 15 66
US20060112165A9 18 43
US20060177021A1 2 6
US20050254570A1 17 63
US20020186762A1 16 42
US20060065189A1 10 32
US20040025908A1 6 44
US20030047199A1 51 36
US20060083102A1 4 40
US20040024807A1 24 23
US20010016878A1 52 44
US08635283B2 12 80
US20010005859A1 21 115
US20050071214A1 3 8
US20070165790A1 6 24
US20060228962A1 12 72
US20050241745A1 17 34
US20040214489A1 24 37
US20050176331A1 9 19
US11015866B2 19 92
US20020105749A1 4 19
US08040915B2 26 78
US20010030975A1 5 32
US20020115421A1 18 44
US20020055354A1 2 14
US20030161296A1 13 56
US20030233569A1 7 4
US20010047482A1 15 30
US20020007453A1 23 56
US20040025048A1 13 48
US20020161733A1 39 72
US20070168871A1 20 46
US10667955B2 2 64
US6858665B2 2 28
US7250477B2 5 4
US20080004391A1 8 20
US20080021138A1 3 3
US20040054731A1 20 17
US20020095468A1 15 15
US20040082327A1 12 26
US20020025810A1 8 31
US20040249883A1 14 29
US20060200425A1 14 40
US08181119B1 23 4
US20020091741A1 16 17
US08321786B2 67 104
US20050149867A1 20 25
US20050262203A1 50 30
US20060161511A1 14 33
US20020035697A1 17 46
US20050033811A1 6 44
US20010037273A1 13 28
US20040172450A1 18 9
US20040230658A1 5 20
US20050188016A1 39 25
US07967519B2 6 26
US20030196672A1 2 15
US10301074B2 11 25
US20060103075A1 14 32
US20030079007A1 17 34
US20010044841A1 18 32
US20050125556A1 13 48
US20060165223A1 14 34
US20040249904A1 10 25
US20050033979A1 16 30
US20030188184A1 23 29
US08738159B2 17 25
US20030023336A1 30 124
US20050223602A1 1 10
US20040103562A1 8 11
US20040168357A1 19 16
US20050147104A1 12 33
US20040037279A1 18 34
US20060135142A1 21 30
US20050238171A1 15 25
US20040179689A1 91 32
US08234089B2 40 78
US20020124205A1 24 20
US20030120825A1 22 22
US20030160826A1 20 41
US08278998B2 11 37
US20010048342A1 7 22
US20030110100A1 24 55
US20030097102A1 23 37
US20020142992A1 7 18
US20050164580A1 4 16
US4857111A 11 18
US20050076236A1 15 26
US20040148520A1 24 40
US20050197480A1 2 9
US4788269A 7 11
US5229207A 7 14
US5945473A 8 25
US20050160188A1 13 30
US20020116555A1 19 41
US20030177296A1 7 22
US20030210710A1 21 19
US20040186845A1 8 44
US20030187854A1 1 10
US20040170030A1 4 2
US5077486A 3 17
US20070219563A1 1 6
US20030167070A1 11 23
US20040034370A1 4 18
US20020077587A1 14 11
US20070129063A1 10 26
US20060084414A1 13 17
US20060242389A1 4 9
US06954846B2 15 37
US20050004079A1 29 60
US20050142192A1 22 27
US7098200B2 2 6
US20060180490A1 14 20
US07014044B1 8 16
US20060079496A1 3 12
US4454069A 1 14
US5288861A 1 5
US20030022882A1 2 7
US20030212675A1 18 33
US20020156779A1 18 38
US20070011169A1 24 20
US20070124411A1 13 10
US20010010046A1 2 8
US20050142746A1 14 15
US20040094795A1 26 53
US20050228319A1 6 18
US20010055812A1 25 30
US20070007731A1 13 27
US20020149154A1 12 33
US11216397B2 6 19
US20060229581A1 16 24
US08060676B2 5 13
US20020023190A1 19 44
US20060075345A1 3 10
US20030129576A1 12 22
US20060127837A1 9 40
US20030104341A1 27 26
US20050064370A1 1 12
US20060168401A1 31 23
US20040139340A1 55 168
US20030105706A1 4 30
US20030004855A1 16 26
US20070159331A1 4 24
US20030016136A1 46 79
US20050277471A1 3 14
US20060022802A1 8 13
US20060160395A1 19 20
US20040073597A1 40 110
US20070151712A1 3 15
US20060185831A1 1 19
US20070006296A1 23 22
US20060067271A1 38 39
US20030225854A1 18 28
US20010051996A1 7 14
US20070279975A1 1 9
US20060158948A1 6 33
US08971240B2 56 40
US07164710B2 20 46
US20020198014A1 35 47
US20050047562A1 3 36
US20030076941A1 54 77
US20030135569A1 38 13
US20060232969A1 10 27
US20020006040A1 1 6
US20050204179A1 9 5
US07392416B2 9 9
US20060277225A1 18 90
US20020065810A1 28 24
US20050192974A1 20 9
US20050268154A1 24 32
US06965936B1 6 13
US20070130364A1 29 27
US20040158793A1 30 96
US20050251676A1 17 21
US20060114909A1 4 18
US20070156982A1 11 16
US20030195887A1 42 16
US20030084164A1 9 32
US20030088609A1 22 40
US20010029548A1 38 63
US20050095939A1 4 20
US20030190853A1 16 26
US20040229538A1 15 27
US20080015875A1 18 32
US20050192871A1 38 48
US20060054682A1 9 22
US20040129294A1 8 11
US07132666B2 1 14
US20060025739A1 7 19
US20020084203A1 6 10
US20060121891A1 17 29
US20030134638A1 6 20
US20070128668A1 20 41
US7091046B2 6 19
US20050015319A1 23 22
US20030115149A1 24 27
US20030060873A1 10 14
US20040039438A1 15 75
US20050154607A1 12 60
US20030011601A1 70 49
US20050273730A1 19 21
US10519372B2 1 6
US20030040504A1 15 36
US08904267B2 18 88
US20040202349A1 62 44
US20040194035A1 12 22
US20060048431A1 1 4
US20030121197A1 1 16
US20050268291A1 8 52
US20040010776A1 16 14
US20020156865A1 11 33
US20060058670A1 36 51
US20030149357A1 18 52
US20060160396A1 20 24
US20040044554A1 9 27
US20080119725A1 8 52
US20020077542A1 3 19
US20060142657A1 28 92
US20060246720A1 16 9
US20040123922A1 5 12
US20060041223A1 15 21
US20020116036A1 22 18
US20050228566A1 7 20
US20020152012A1 5 20
US20060294159A1 15 25
US20050071359A1 25 28
US20040015542A1 12 50
US20030105744A1 13 20
US07013303B2 42 50
US11092098B2 11 26
US20030149232A1 6 17
US20030140275A1 11 10
US07054942B1 24 23
US20070006100A1 10 15
US20030009469A1 78 38
US20040004599A1 12 111
US20030018663A1 5 16
US20030078973A1 15 21
US20050132418A1 56 57
US09832032B2 14 25
US07912486B2 16 74
US20020009973A1 39 60
US20020184527A1 7 16
US08250406B2 7 22
US20040088589A1 10 43
US20070085010A1 7 6
US20040104500A1 30 30
US20070061535A1 12 30
US20020087872A1 8 12
US20060108585A1 19 6
US20070057258A1 57 56
US20060286438A1 12 48
US20030157409A1 14 16
US20050214637A1 9 14
US20050221192A1 6 16
US07925616B2 29 32
US20060085742A1 7 16
US20070077314A1 16 9
US07052725B2 54 38
US20050075682A1 3 4
US20040011366A1 7 52
US20080092911A1 4 21
US20060138253A1 12 41
US20050098661A1 5 17
US20040255271A1 17 13
US06990333B2 27 48
US20060085595A1 71 40
US20040225659A1 5 12
US20050023715A1 2 4
US6054222A 3 3
US20060218455A1 16 32
US06928019B2 15 68
US08503577B2 19 93
US20040047296A1 24 11
US20030157914A1 26 31
US20050130595A1 11 25
US20020142721A1 9 13
US20060235820A1 15 12
US20040133581A1 46 71
US10343185B2 17 51
US20040144655A1 2 7
US20020152348A1 19 51
US06857034B1 7 18
US08008724B2 17 26
US20030181005A1 26 31
US20030083925A1 21 165
US20010049690A1 42 70
US20020082900A1 12 19
US20020133479A1 14 31
US20050141426A1 7 11
US20060159019A1 17 20
US20040193884A1 36 21
US20020053044A1 6 15
US20040081177A1 4 11
US07225271B1 33 64
US20050196124A1 9 36
US20030158940A1 10 41
US20060171298A1 3 161
US20040087311A1 6 13
US20040240389A1 9 19
US20050221839A1 8 5
US20050238154A1 15 50
US20050265283A1 35 46
US20060188079A1 1 10
US20070230437A1 10 24
US20050260323A1 10 22
US20040121050A1 15 27
US20060054868A1 3 8
US20040186220A1 7 28
US20050165155A1 2 14
US20020087351A1 15 29
US20040133793A1 89 144
US20060224777A1 14 17
US20060101397A1 19 37
US11172685B2 8 28
US20020141905A1 20 38
US20050289342A1 9 22
US20050246338A1 18 44
US20060005151A1 19 45
US20050076300A1 11 27
US20020040302A1 41 38
US20020133387A1 15 32
US20030046383A1 18 43
US20020169868A1 29 79
US08637342B2 10 17
US20050180216A1 2 7
US20050265553A1 12 104
US20040133683A1 48 83
US20040141484A1 9 28
US20050025181A1 12 22
US20050190747A1 7 54
US20090100523A1 12 90
US20050216564A1 25 15
US20080010353A1 6 18
US20040221062A1 12 5
US20050030589A1 21 24
US20050088702A1 7 15
US09654544B2 19 26
US20010054020A1 43 59
US20060026255A1 6 42
US20040148346A1 16 32
US20040205775A1 22 29
US20070041149A1 3 24
US20060176290A1 7 8
US20050076171A1 15 28
US20050003808A1 25 19
US20010034220A1 65 45
US20030191669A1 45 53
US20020032583A1 11 86
US20060265491A1 6 30
US20030134650A1 4 3
US20040205158A1 7 18
US20040264395A1 4 22
US10206783B2 27 21
US6159300A 5 18
US20050220107A1 13 22
US20030231640A1 11 18
US20040221051A1 14 29
US20080013021A1 3 44
US20040051827A1 22 23
US20030210369A1 16 29
US20060197762A1 15 13
US20060116994A1 3 15
US20030190557A1 5 9
US20080162234A1 1 8
US20060136121A1 15 31
US20070208875A1 21 54
US20030079006A1 6 24
US20030140185A1 10 21
US08639726B2 10 42
US20070180424A1 4 5
US20060062530A1 4 10
US20070011383A1 2 25
US20050240703A1 4 13
US20040264483A1 3 78
US20030002478A1 12 30
US20050165724A1 20 43
US20030149934A1 10 82
US08447743B2 37 25
US20050210023A1 19 24
US20040039791A1 11 17
US08856401B2 18 17
US20020181055A1 11 49
US20040003905A1 5 16
US06863107B2 5 11
US20050133559A1 22 12
US20030024960A1 57 65
US20070125546A1 3 9
US20030007839A1 2 8
US20030065526A1 49 96
US20020054714A1 27 34
US20070222493A1 11 14
US20050280443A1 4 14
US08355603B2 59 59
US20020019892A1 20 26
US20050071450A1 10 18
US20050177629A1 1 15
US20050285175A1 33 48
US20050059214A1 38 68
US07814100B2 40 152
US20050080863A1 6 8
US20050153681A1 10 29
US20060075044A1 45 40
US20060212561A1 27 42
US20050080745A1 8 36
US07191368B1 11 13
US20030050896A1 19 42
US20020016765A1 19 33
US20050086164A1 36 20
US20060056251A1 5 11
US20040223395A1 8 29
US20060143562A1 30 84
US20010056460A1 25 45
US20040268304A1 10 19
US20050102612A1 6 12
US20030100325A1 19 150
US20010036834A1 9 20
US20020142757A1 6 20
US07693508B2 14 31
US20030073453A1 13 15
US20070053135A1 10 17
US20030085266A1 2 18
US20060280559A1 4 20
US20020168232A1 24 57
US20080003541A1 10 40
US20020192617A1 29 47
US20030008259A1 7 6
US08495266B2 8 57
US20030135677A1 23 23
US20040019892A1 12 37
US20050149634A1 5 4
US20070086673A1 9 48
US20030048385A1 6 23
US20040145596A1 2 19
US20040199582A1 11 13
US20040003071A1 47 38
US20050231502A1 64 146
US20020033844A1 4 15
US06919906B2 30 27
US20060105127A1 1 8
US20020061371A1 15 32
US20070020440A1 23 52
US20010029966A1 27 31
US20030180055A1 11 13
US20030030873A1 14 42
US20040061709A1 14 14
US20030011626A1 4 20
US20050197967A1 24 45
US20030014368A1 46 118
US20040165024A1 9 16
US20030164963A1 9 16
US20040078213A1 22 21
US20030036930A1 31 26
US20070065958A1 13 26
US20040166763A1 20 26
US20040266051A1 14 46
US20070189718A1 76 74
US20060098940A1 17 27
US20070230283A1 5 19
US20060095859A1 22 14
US20040148419A1 12 24
US20030135859A1 4 15
US20050076334A1 23 45
US20030204736A1 10 18
US20070074513A1 4 10
US20040099242A1 12 41
US20040259789A1 4 15
US20030143610A1 21 20
US20070064758A1 6 60
US20010053167A1 26 46
US20030123512A1 29 12
US20050230722A1 36 44
US20080022201A1 3 28
US20070186151A1 14 12
US20070214429A1 7 50
US20070074128A1 9 14
US20060085758A1 3 13
US20100021289A1 9 29
US6153313A 1 5
US20060193881A1 2 28
US20020127258A1 2 14
US20070049266A1 2 20
US07203512B2 12 33
US20070206530A1 4 9
US08156007B1 14 54
US20050114221A1 39 52
US20020077914A1 13 25
US20050246703A1 5 23
US20020087759A1 7 12
US20020169658A1 37 114
US20010053991A1 101 76
US20020065701A1 9 48
US20020099598A1 18 29
US20050165617A1 16 46
US20020069148A1 36 35
US20020091645A1 38 39
US20030162457A1 5 18
US06916752B2 2 15
US20060289847A1 10 16
US20050029502A1 4 16
US20040184955A1 6 11
US06892948B2 14 15
US20050203474A1 7 15
US6130304A 2 7
US20040267673A1 1 17
US20020153414A1 11 39
US20040075122A1 19 51
US20020125536A1 87 132
US20040195628A1 34 68
US20030042531A1 3 29
US20070098394A1 4 36
US20030123112A1 2 49
US20040190025A1 54 61
US20050164698A1 2 22
US20040052245A1 14 25
US20030096627A1 7 64
US20050172229A1 10 20
US20040078422A1 19 29
US20030223926A1 22 80
US6964692B2 4 20
US06893255B2 17 8
US20070114364A1 3 16
US20010038651A1 14 58
US20060170931A1 5 3
US20040250834A1 2 14
US20040163665A1 1 23
US20070003720A1 7 12
US20040034169A1 3 3
US20070208146A1 5 10
US20030056211A1 3 18
US20020002706A1 20 16
US20040220926A1 22 29
US20060222702A1 12 74
US20030103905A1 28 45
US20060045196A1 5 15
US20040096008A1 9 15
US20070083796A1 8 38
US20050114379A1 24 44
US20030055948A1 33 64
US20080072181A1 13 19
US20030030474A1 4 14
US20050243835A1 21 37
US20040184483A1 16 33
US20060046433A1 5 5
US20030092220A1 5 6
US08756628B2 22 14
US20030226150A1 23 48
US20030228013A1 14 20
US20020090078A1 6 12
US09293670B2 4 12
US06897031B1 7 30
US20050121113A1 23 52
US20030150524A1 4 13
US20030175541A1 22 53
US20070220762A1 6 8
US20070175054A1 14 52
US08819196B2 13 46
US20020174247A1 5 24
US20050107118A1 3 9
US20010053703A1 9 6
US20040137287A1 4 15
US20040175601A1 7 20
US20040004708A1 9 15
US20030003607A1 14 43
US08166005B2 24 38
US20030158836A1 37 160
US11172189B1 38 48
US20040105983A1 17 26
US5684071A 14 9
US20070021535A1 1 4
US20040185729A1 4 11
US20020137416A1 6 17
US10549574B2 34 11
US5393838A 5 16
US07965504B2 20 37
US20030223199A1 6 22
US20080169525A1 25 35
US20020148967A1 10 17
US20050022245A1 29 38
US20030093800A1 23 16
US20050246634A1 16 33
US20030101235A1 17 39
US20030222134A1 4 17
US20030103644A1 1 20
US20050221075A1 12 160
US20060057359A1 8 71
US20070059511A1 10 34
US09089871B2 10 7
US4106991A 1 5
US20070010059A1 3 3
US20030201458A1 46 54
US20050201489A1 5 30
US06867704B2 26 23
US20040073705A1 63 195
US07050192B2 15 17
US20030212762A1 31 58
US20030028850A1 16 16
US20060130009A1 11 9
US20060064667A1 24 33
US20060009911A1 8 27
US20060271331A1 5 22
US20050020316A1 13 19
US20040203651A1 4 13
US20040103186A1 47 45
US20030023712A1 9 18
US20060194066A1 15 84
US6840061B1 3 9
US20020114945A1 31 71
US20030039843A1 27 53
US20040205374A1 14 28
US20020107953A1 16 35
US20040210218A1 12 35
US20020143329A1 89 80
US08062746B2 13 42
US20020055313A1 14 16
US20020051882A1 10 18
US20060281553A1 4 11
US20020090985A1 2 10
US20050234386A1 14 12
US07063681B1 12 24
US20070121286A1 2 9
US20040207982A1 5 5
US20050276812A1 44 128
US20020001587A1 5 9
US20050169933A1 29 43
US20020116575A1 44 94
US07103602B2 16 31
US20050219559A1 2 40
US20050197481A1 3 7
US20070282967A1 9 64
US06910178B1 18 17
US06848063B2 30 28
US20050177574A1 22 72
US20020087496A1 21 44
US20090006228A1 6 28
US06917610B1 4 13
US20010056389A1 12 23
US20070191839A1 22 93
US07066937B2 74 76
US20050277919A1 11 50
US20060100621A1 68 78
US20050160155A1 26 64
US06996537B2 27 64
US20060235925A1 9 12
US20060122851A1 3 17
US20020120475A1 28 18
US20040137200A1 20 26
US20020034912A1 63 22
US20050215516A1 3 3
US20070264897A1 28 32
US20030168776A1 31 48
US6844389B2 2 42
US20070254142A1 3 24
US20060143269A1 10 12
US06983421B1 29 31
US20050287069A1 10 7
US20030113282A1 13 19
US20070095744A1 12 74
US20060180539A1 4 12
US20030196947A1 31 47
US20060004740A1 11 10
US20070106611A1 7 20
US20010037290A1 15 23
US20050019773A1 18 93
US20010039014A1 2 3
US20010044111A1 2 5
US6117679A 4 13
US20050281968A1 18 25
US20020178725A1 7 9
US20050244325A1 16 10
US7250148B2 3 13
US20060129704A1 1 9
US20040093538A1 14 22
US20060078985A1 10 32
US20020145737A1 26 40
US20040100376A1 17 43
US20040139504A1 11 41
US4267118A 5 8
US08642383B2 4 16
US20050189623A1 89 66
US20040021230A1 34 30
US20070003499A1 7 50
US20030049219A1 4 7
US20060122897A1 5 8
US20030061150A1 61 119
US20040138911A1 34 37
US20070206743A1 11 54
US20060020542A1 34 50
US20070051794A1 44 37
US20050256901A1 21 48
US20040068461A1 22 52
US20070101180A1 12 21
US20060248407A1 12 26
US20030139991A1 6 16
US20020032655A1 24 56
US20040249793A1 53 148
US20020023114A1 59 51
US20020161602A1 60 61
US20040003093A1 2 6
US20040205249A1 14 10
US20040160421A1 40 66
US20010006006A1 14 37
US20060011232A1 1 3
US20030015700A1 10 23
US20060072592A1 43 32
US20020141346A1 27 49
US07206289B2 39 26
US20080027965A1 9 11
US20030137536A1 21 44
US08285606B2 14 58
US20030177025A1 40 44
US20060085394A1 21 18
US20040059757A1 13 32
US20050104104A1 11 96
US20040002186A1 38 45
US20030230770A1 6 14
US20030132504A1 17 42
US20060007727A1 15 36
US10015140B2 46 40
US20060037075A1 11 8
US09323735B2 18 22
US20020062385A1 45 139
US20070162421A1 31 38
US20040068479A1 12 36
US20040001521A1 3 5
US20020118717A1 18 28
US20070184732A1 18 21
US20030176133A1 4 27
US08601100B2 9 138
US20050091349A1 19 52
US20050138628A1 6 10
US20070200176A1 5 24
US20050079692A1 17 30
US20060166457A1 13 30
US20050233776A1 26 90
US20050113123A1 26 57
US20040198376A1 26 21
US20020126701A1 14 45
US08425881B2 6 22
US20030049303A1 1 3
US20060140880A1 5 20
US20060140162A1 8 44
US20030140104A1 27 42
US20070036964A1 14 32
US20040024470A1 8 12
US20060155520A1 14 22
US20030177018A1 20 25
US20070237667A1 6 44
US7198462B2 2 12
US06977060B1 6 20
US20050276573A1 11 8
US20030026592A1 28 37
US20030093736A1 47 34
US20030163788A1 7 10
US20030002103A1 8 45
US20030035411A1 69 36
US20050021339A1 4 4
US20020129057A1 40 124
US20020193417A1 1 13
US20050135588A1 11 28
US20080294977A1 49 28
US20060224803A1 4 15
US20060184717A1 20 9
US20070018793A1 30 54
US20050088284A1 7 21
US20030137690A1 57 45
US20030093670A1 36 13
US6103529A 1 6
US20050133385A1 12 29
US4460490A 4 10
