US20030122874A1: (dynamic, document, )
US20030023811A1: (include, partition table, logical)
US20030023811A1: (include, partition table, )
US20030023811A1: (include, , logical)
US20030023811A1: (identify, information, )
US20030023811A1: (identify, disk, )
US20030023811A1: (correspond, information, logical)
US20030023811A1: (identify, information, )
US20030023811A1: (correspond, information, )
US20030023811A1: (volume, name information, )
US20030023811A1: (allocation table, extent, )
US20030023811A1: (error, disk, )
US20030023811A1: (represent, , usage)
US20030023811A1: (bit, extent, )
US20030023811A1: (construct, mapping table, )
US20030023811A1: (pair, disk, )
US20030023811A1: (number, extent, )
US20030023811A1: (correspond, extent, )
US20030023811A1: (mapping, extent, )
US20030023811A1: (mapping, logical address, )
US20030023811A1: (space, logical address, logical)
US20030023811A1: (space, logical address, )
US20030023811A1: (space, , logical)
===========================
US20070027696A1: (communication, first device, )
US20070027696A1: (communication, second device, third)
US20070027696A1: (communication, second device, )
US20070027696A1: (receive, , third)
US20070027696A1: (communication, , third)
US20070027696A1: (via, , third)
US20070027696A1: (communication link, , third)
US20070027696A1: (send, , third)
US20070027696A1: (control, first device, )
US20070027696A1: (base, first device, )
US20070027696A1: (second, first device, )
US20070027696A1: (device, first device, )
US20070027696A1: (control, first device, )
US20070027696A1: (control, apparatus, )
US20070027696A1: (couple, receive signal, )
US20070027696A1: (couple, send signal, )
US20070027696A1: (control, second device, )
US20070027696A1: (couple, receive signal, third)
US20070027696A1: (receive, second device, )
US20070027696A1: (identification, second device, )
US20070027696A1: (identification, first device, )
US20070027696A1: (send, , communication base)
US20070027696A1: (second, , communication base)
US20070027696A1: (user, operable device, )
US20070027696A1: (control, information device, )
US20070027696A1: (user, information, )
US20070027696A1: (control, information, networked)
US20070027696A1: (receive, information, )
US20070027696A1: (control, information, )
US20070027696A1: (building, session key, )
US20070027696A1: (user, operable device, )
US20070027696A1: (user, operable device, communication base)
US20070027696A1: (request, session key, third)
US20070027696A1: (request, session key, )
US20070027696A1: (request, , third)
US20070027696A1: (receive, first device, )
US20070027696A1: (request, first device, )
US20070027696A1: (request, session key, )
US20070027696A1: (validation, session key, )
US20070027696A1: (validation, second device, )
US20070027696A1: (receive, second device, proper)
US20070027696A1: (validation, first device, )
US20070027696A1: (generate, session key, )
US20070027696A1: (generate, session, )
US20070027696A1: (first, operable device, )
US20070027696A1: (device, , input output)
US20070027696A1: (transmit, session key, )
US20070027696A1: (first, second device, )
US20070027696A1: (receive, session key, )
US20070027696A1: (transmit, , proper)
US20070027696A1: (receive, , proper)
US20070027696A1: (receive, session, )
US20020172190A1: (rout, information, )
US20020172190A1: (address, information, )
US20020172190A1: (service, party, )
US20020172190A1: (service, party, )
US20020172190A1: (service, telecommunication system, )
US20020172190A1: (include, telecommunication system, )
US20020172190A1: (include, telecommunication terminal, )
US20020172190A1: (connect, telecommunication network, )
US20020172190A1: (service, apparatus, )
US20020172190A1: (connect, apparatus, )
US20020172190A1: (mediate, telecommunication network, )
US20020172190A1: (connect, telecommunication terminal, )
US20020172190A1: (service, telecommunication terminal, )
US20020172190A1: (provide, telecommunication terminal, unambiguous)
US20020172190A1: (provide, telecommunication terminal, )
US20020172190A1: (send, telecommunication terminal, )
US20020172190A1: (request, telecommunication terminal, )
US20020172190A1: (service, apparatus, unambiguous)
US20020172190A1: (provide, , least)
US20020172190A1: (service, apparatus, )
US20020172190A1: (associate, identifier, )
US20020172190A1: (key, , least)
US20020172190A1: (digital, signing, )
US20020172190A1: (one, network address, service provider)
US20020172190A1: (one, network address, )
US20020172190A1: (mediate, information, )
US20020172190A1: (service, telecommunication terminal, )
US20020172190A1: (via, apparatus, )
US20020172190A1: (communication, telecommunication system, )
US20020172190A1: (string, telecommunication terminal, )
===========================
US20070027696A1: (communication, first device, )
US20070027696A1: (communication, second device, third)
US20070027696A1: (communication, second device, )
US20070027696A1: (receive, , third)
US20070027696A1: (communication, , third)
US20070027696A1: (via, , third)
US20070027696A1: (communication link, , third)
US20070027696A1: (send, , third)
US20070027696A1: (control, first device, )
US20070027696A1: (base, first device, )
US20070027696A1: (second, first device, )
US20070027696A1: (device, first device, )
US20070027696A1: (control, first device, )
US20070027696A1: (control, apparatus, )
US20070027696A1: (couple, receive signal, )
US20070027696A1: (couple, send signal, )
US20070027696A1: (control, second device, )
US20070027696A1: (couple, receive signal, third)
US20070027696A1: (receive, second device, )
US20070027696A1: (identification, second device, )
US20070027696A1: (identification, first device, )
US20070027696A1: (send, , communication base)
US20070027696A1: (second, , communication base)
US20070027696A1: (user, operable device, )
US20070027696A1: (control, information device, )
US20070027696A1: (user, information, )
US20070027696A1: (control, information, networked)
US20070027696A1: (receive, information, )
US20070027696A1: (control, information, )
US20070027696A1: (building, session key, )
US20070027696A1: (user, operable device, )
US20070027696A1: (user, operable device, communication base)
US20070027696A1: (request, session key, third)
US20070027696A1: (request, session key, )
US20070027696A1: (request, , third)
US20070027696A1: (receive, first device, )
US20070027696A1: (request, first device, )
US20070027696A1: (request, session key, )
US20070027696A1: (validation, session key, )
US20070027696A1: (validation, second device, )
US20070027696A1: (receive, second device, proper)
US20070027696A1: (validation, first device, )
US20070027696A1: (generate, session key, )
US20070027696A1: (generate, session, )
US20070027696A1: (first, operable device, )
US20070027696A1: (device, , input output)
US20070027696A1: (transmit, session key, )
US20070027696A1: (first, second device, )
US20070027696A1: (receive, session key, )
US20070027696A1: (transmit, , proper)
US20070027696A1: (receive, , proper)
US20070027696A1: (receive, session, )
US20060106679A1: (receive communication, first communication channel, )
US20060106679A1: (associate, data address, )
US20060106679A1: (assemble, data message, )
US20060106679A1: (item, data message, )
US20060106679A1: (item, code identification information, )
US20060106679A1: (associate, code identification information, )
US20060106679A1: (associate, telecommunication device, )
US20060106679A1: (address, message data, )
US20060106679A1: (communication, telecommunication device, )
US20060106679A1: (free, telecommunication device, )
US20060106679A1: (free, first communication channel, )
US20060106679A1: (receive, data message, )
US20060106679A1: (associate, response message, )
US20060106679A1: (deliver, response message, )
US20060106679A1: (user, telecommunication device, )
US20060106679A1: (subscriber, telecommunication device, )
US20060106679A1: (interactive, communication session, )
US20060106679A1: (address, second communication channel, without)
US20060106679A1: (address, response message, )
US20060106679A1: (address, second communication channel, )
US20060106679A1: (provide, product code, )
US20060106679A1: (use, product code, )
US20060106679A1: (select, data message, )
US20060106679A1: (transmit, activation message, remotely)
US20060106679A1: (transmit, activation message, )
US20060106679A1: (item, , without)
US20060106679A1: (occupy, first communication channel, )
US20060106679A1: (deliver, activation message, )
===========================
US20040111525A1: (use, client device, )
US20040111525A1: (include, identifier, )
US20040111525A1: (associate, identifier, )
US20040111525A1: (base, identifier, )
US20040111525A1: (select, candidate list, )
US20040111525A1: (web, candidate list, )
US20040111525A1: (generate, service object, )
US20040111525A1: (base, service object, )
US20040111525A1: (provide, service object, )
US20040111525A1: (use, client device, )
US20040111525A1: (web, computer program, )
US20040111525A1: (product, computer program, )
US20040111525A1: (product, computer, )
US20040111525A1: (readable medium, computer, )
US20040111525A1: (receive, first instruction, )
US20040111525A1: (web, apparatus, )
US20040111525A1: (select, apparatus, )
US20020143819A1: (delivery system, information, )
US20020143819A1: (service, consumer, )
US20020143819A1: (connect, consumer, )
US20020143819A1: (store, service registry, )
US20020143819A1: (one, , network service)
US20020143819A1: (characteristic, request message, )
US20020143819A1: (characteristic, output information, )
US20020143819A1: (produce, output information, )
US20020143819A1: (response, request message, )
US20020143819A1: (describe, business information, term)
US20020143819A1: (one, consumer, network service)
US20020143819A1: (describe, business information, )
US20020143819A1: (describe, , term)
US20020143819A1: (provide, output information, )
US20020143819A1: (one, consumer, )
US20020143819A1: (service, consumer, term)
US20020143819A1: (service, consumer, specific)
US20020143819A1: (describe, business information, specific)
US20020143819A1: (receive, subscription manager, )
US20020143819A1: (acceptance, , specific)
US20020143819A1: (provide, business information, )
US20020143819A1: (describe, , specific)
US20020143819A1: (relationship, , specific)
US20020143819A1: (message, handler, )
US20020143819A1: (receive, handler, )
US20020143819A1: (network, , specific)
US20020143819A1: (establish, , specific)
US20020143819A1: (transmit, request message, )
US20020143819A1: (service, network address, )
US20020143819A1: (description, , specific)
US20020143819A1: (obtain, information, network service)
US20020143819A1: (provide, information, least)
US20020143819A1: (performance, , specific)
US20020143819A1: (return, information, )
US20020143819A1: (produce, information, )
US20020143819A1: (obtain, information, )
US20020143819A1: (provide, information, )
US20020143819A1: (performance, network address, )
US20020143819A1: (nature, input information, )
US20020143819A1: (supply, input information, )
US20020143819A1: (nature, output information, )
US20020143819A1: (return, output information, )
US20020143819A1: (contain, business information, term)
US20020143819A1: (contain, business information, )
US20020143819A1: (contain, , term)
US20020143819A1: (acceptance, , term)
US20020143819A1: (request, output information, network service)
US20020143819A1: (service, , interface program)
US20020143819A1: (request, output information, )
US20020143819A1: (description, , network service)
US20020143819A1: (subscriber, , network service)
US20020143819A1: (meeting, input information, specification)
US20020143819A1: (supply, input information, )
US20020143819A1: (meeting, input information, )
US20020143819A1: (meeting, , specification)
US20020143819A1: (rout, output information, )
US20020143819A1: (provide, resource, )
US20020143819A1: (response, resource, )
US20020143819A1: (response, output information, )
US20020143819A1: (request, output information, )
US20020143819A1: (connect, communication network, )
US20020143819A1: (establish, communication network, )
US20020143819A1: (via, distribute information, )
US20020143819A1: (request, network address, )
US20020143819A1: (accompany, input information, )
US20020143819A1: (business, , term)
US20020143819A1: (one, provider, network service)
US20020143819A1: (receive, individual, )
US20020143819A1: (subscriber, individual, )
US20020143819A1: (agreement, individual, )
US20020143819A1: (subscriber, provider, )
US20020143819A1: (one, provider, )
US20020143819A1: (request, individual, )
US20020143819A1: (seek, output information, )
US20020143819A1: (establish, individual, )
US20020143819A1: (execution, , mean)
US20020143819A1: (accounting, , mean)
US20020143819A1: (describe, record information, )
US20020143819A1: (describe, delivery information, )
US20020143819A1: (subscription, individual, )
US20020143819A1: (subscription, processing, )
US20020143819A1: (request, processing, )
US20020143819A1: (via, internet information, )
US20020143819A1: (select, internet information, )
US20020143819A1: (description, , different)
US20020143819A1: (input, processing, specification)
US20020143819A1: (input, processing, )
US20020143819A1: (output, processing, specification)
US20020143819A1: (output, processing, )
US20020143819A1: (offer, provider, )
US20020143819A1: (subscriber, provider, )
US20020143819A1: (select, provider, )
US20020143819A1: (receive, output information, )
US20020143819A1: (transmit, , least)
US20020143819A1: (subscriber, output information, )
===========================
US20040100495A1: (display, desktop, )
US20040100495A1: (include, desktop, least)
US20040100495A1: (include, desktop, )
US20040100495A1: (include, , least)
US20040100495A1: (associate, , text label)
US20040100495A1: (user, desktop, )
US20040100495A1: (configuration, desktop, )
US20040100495A1: (configuration, desktop, )
US20040100495A1: (use, display desktop, )
US20040100495A1: (configuration, , text label)
US20040100495A1: (locate, , different)
US20040100495A1: (position, , relative)
US20040100495A1: (use, display desktop, )
US20040100495A1: (configure, desktop, )
US20040100495A1: (one, icon text, )
US20040100495A1: (label, icon text, )
US20040100495A1: (position, , text label)
US20040100495A1: (use, computer program, )
US20040100495A1: (product, computer program, )
US20040100495A1: (product, computer, )
US20040100495A1: (readable medium, computer, )
US20040100495A1: (code, , mean)
US20040100495A1: (use, apparatus, )
US20040100495A1: (display, apparatus, )
US20040100495A1: (allow, apparatus, )
US20040100495A1: (use, system display, )
US20040100495A1: (store, code data, )
US20040100495A1: (processor, processing, )
US20040100495A1: (allow, code data, )
US20040100495A1: (enable, code data, )
US20040225967A1: (method processing, , directional property)
US20040225967A1: (obtain, object, )
US20040225967A1: (one, child element, )
US20040225967A1: (element, hierarchy, )
US20040225967A1: (associate, , directional property)
US20040225967A1: (set, physical, )
US20040225967A1: (coordinate, physical, )
US20040225967A1: (correspond, display screen, )
US20040225967A1: (element, hierarchy, directional property)
US20040225967A1: (correspond, , logical relationship)
US20040225967A1: (element, , directional property)
US20040225967A1: (associate, object, )
US20040225967A1: (medium, object, )
US20040225967A1: (claim, computer system, )
US20040225967A1: (processor, computer system, )
US20040225967A1: (component, processing, directional property)
US20040225967A1: (one, child element, logical relationship)
US20040225967A1: (component, processing, )
US20040225967A1: (accept, object, )
US20040225967A1: (correspond, hierarchy, logical relationship)
US20040225967A1: (method processing, object, direction property)
US20040225967A1: (component, , operable)
US20040225967A1: (coordinate, object, )
US20040225967A1: (correspond, hierarchy, )
US20040225967A1: (method processing, object, )
US20040225967A1: (method processing, , direction property)
US20040225967A1: (obtain, display object, )
US20040225967A1: (include, display object, )
US20040225967A1: (graphical, resource, )
US20040225967A1: (maintain, resource, specific)
US20040225967A1: (render, information, )
US20040225967A1: (determine, information, )
US20040225967A1: (maintain, resource, )
US20040225967A1: (maintain, , specific)
US20040225967A1: (obtain, , directional property)
US20040225967A1: (determine, display object, )
US20040225967A1: (render, display object, )
US20040225967A1: (memory, operating environment, )
===========================
US20060059413A1: (check, document, )
US20060059413A1: (identify, , noun)
US20060059413A1: (occurrence, , noun)
US20060059413A1: (application, , generation)
US20060059413A1: (store, search engine, )
US20060059413A1: (art, data data, )
US20060059413A1: (structure, data data, )
US20060059413A1: (couple, data structure, )
US20060059413A1: (separate, data structure, )
US20060059413A1: (example, user interface, )
US20060059413A1: (couple, parser, )
US20060059413A1: (receive, parser, )
US20010049707A1: (draft, document, )
US20010049707A1: (generate, document, )
US20010049707A1: (sequence, document, )
US20010049707A1: (receive, text input, )
US20010049707A1: (agent, electronic, )
US20010049707A1: (review, text input, )
US20010049707A1: (one, , rule text)
US20010049707A1: (zero, diagnostic message, )
US20010049707A1: (couple, visualization system, one screen)
US20010049707A1: (couple, visualization system, )
US20010049707A1: (couple, , one screen)
US20010049707A1: (one, text, )
US20010049707A1: (generator, document, )
US20010049707A1: (assemble, text input, )
US20010049707A1: (couple, portal, )
US20010049707A1: (user, , workstation)
US20010049707A1: (serve, portal, patent)
US20010049707A1: (serve, portal, )
US20010049707A1: (serve, , patent)
US20010049707A1: (generate, , patent application)
US20010049707A1: (claim, visualizer, )
US20010049707A1: (display one, visualizer, )
US20010049707A1: (element, , patent application)
US20010049707A1: (assemble, , patent application)
US20010049707A1: (receive, electronically, patent application)
US20010049707A1: (adapt, electronically, )
US20010049707A1: (receive, electronically, )
US20010049707A1: (receive, , patent application)
US20010049707A1: (service, , patent)
===========================
US20060059413A1: (check, document, )
US20060059413A1: (identify, , noun)
US20060059413A1: (occurrence, , noun)
US20060059413A1: (application, , generation)
US20060059413A1: (store, search engine, )
US20060059413A1: (art, data data, )
US20060059413A1: (structure, data data, )
US20060059413A1: (couple, data structure, )
US20060059413A1: (separate, data structure, )
US20060059413A1: (example, user interface, )
US20060059413A1: (couple, parser, )
US20060059413A1: (receive, parser, )
US20030004936A1: (include, technique, intelligent search)
US20030004936A1: (enable, computer system, )
US20030004936A1: (combination, technique, )
US20030004936A1: (include, technique, )
US20030004936A1: (include, , intelligent search)
US20030004936A1: (valuation, , intellectual property)
US20030004936A1: (provide, , model mapping)
US20030004936A1: (result, , intellectual property)
US20030004936A1: (one, server computer, )
US20030004936A1: (via, server computer, global area)
US20030004936A1: (one, client computer, )
US20030004936A1: (connect, client computer, )
US20030004936A1: (connect, server computer, )
US20030004936A1: (via, server computer, )
US20030004936A1: (via, , global area)
US20030004936A1: (one, computer program, )
US20030004936A1: (execute, computer program, )
US20030004936A1: (instruction, computer program, )
US20030004936A1: (technology, sector, within)
US20030004936A1: (technology, sector, )
US20030004936A1: (search, , problem)
US20030004936A1: (solution, , intellectual property)
US20030004936A1: (engineering, publication, intellectual property)
US20030004936A1: (search, , scientific)
US20030004936A1: (engineering, publication, )
US20030004936A1: (database, database information, intellectual property)
US20030004936A1: (database, database information, )
US20030004936A1: (result, , model mapping)
US20030004936A1: (value, , intellectual property)
US20030004936A1: (criterion, , model mapping)
US20030004936A1: (represent, symbol, intellectual property)
US20030004936A1: (represent, symbol, )
US20030004936A1: (represent, , intellectual property)
US20030004936A1: (value, , direction)
US20030004936A1: (value, computer, )
US20030004936A1: (implement, computer, )
US20030004936A1: (simultaneous, , instantaneous)
US20030004936A1: (optional, , instantaneous)
US20030004936A1: (contain, review data, )
US20030004936A1: (appear, electronic, patent)
US20030004936A1: (appear, publication, )
US20030004936A1: (appear, electronic, )
US20030004936A1: (science, , engineering technology)
US20030004936A1: (database, electronic, )
US20030004936A1: (solution, , patent)
US20030004936A1: (valuation, , patent)
US20030004936A1: (step, publication, )
US20030004936A1: (cause, , generation)
US20030004936A1: (optional, shoe, )
US20030004936A1: (review, literature, )
US20030004936A1: (technology, literature, )
US20030004936A1: (access, user interface device, )
US20030004936A1: (distribute, user interface device, )
US20030004936A1: (list, , patent)
US20030004936A1: (distribution, , problem)
US20030004936A1: (associate, literature, )
US20030004936A1: (file, , patent)
US20030004936A1: (representative, image text data, least)
US20030004936A1: (retrieval, audible, )
US20030004936A1: (representative, image text data, )
US20030004936A1: (representative, , least)
US20030004936A1: (distribution, , least)
US20030004936A1: (visual, audible, audiovisual)
US20030004936A1: (step, , limitation)
US20030004936A1: (report, , without)
US20030004936A1: (visual, audible, )
===========================
US20040122793A1: (one, text, )
US20040122793A1: (instruction, text, )
US20040122793A1: (standard, markup language, )
US20040122793A1: (one, physical, )
US20040122793A1: (drive, physical, )
US20040122793A1: (configuration, script, )
US20040122793A1: (model, script, )
US20020124245A1: (across, , enterprise)
US20020124245A1: (user, , enterprise)
US20020124245A1: (master, , workstation)
US20020124245A1: (receive, administrator, )
US20020124245A1: (request, administrator, )
US20020124245A1: (run, user machine, )
US20020124245A1: (data, user machine, )
US20020124245A1: (indicate, configuration status, )
US20020124245A1: (initiate, native, )
US20020124245A1: (application, native, )
US20020124245A1: (collect, configuration data, )
US20020124245A1: (pick, administrator, )
US20020124245A1: (instal, user machine, )
US20020124245A1: (service, server, )
US20020124245A1: (second, , ssl)
US20020124245A1: (authentication, certificate, )
US20020124245A1: (authentication, communication intranet, )
US20020124245A1: (connect, communication intranet, )
US20020124245A1: (transaction, , integrity)
US20020124245A1: (database, , referential)
US20020124245A1: (collect, , detailed)
US20020124245A1: (configuration, hardware, )
US20020124245A1: (load, relational database, )
US20020124245A1: (purpose, relational database, )
US20020124245A1: (purpose, hardware, )
US20020124245A1: (configuration, operating system software, )
US20020124245A1: (configuration, operating system software, )
US20020124245A1: (compatible, hardware, version)
US20020124245A1: (compatible, hardware, )
US20020124245A1: (compatible, , version)
US20020124245A1: (engine, script, )
US20020124245A1: (engine, target machine, )
US20020124245A1: (initiate, target machine, )
US20020124245A1: (export, relational database, )
US20020124245A1: (deployment, relational database, )
US20020124245A1: (deployment, server, )
US20020124245A1: (pass, hardware, )
US20020124245A1: (peripheral, hardware, )
US20020124245A1: (component, asic, specific)
US20020124245A1: (component, asic, )
US20020124245A1: (generate, , specific)
US20020124245A1: (install, , specific)
US20020124245A1: (driver, , specific target)
US20020124245A1: (custom, , generation)
US20020124245A1: (installation, tree, )
US20020124245A1: (consolidate, tree, )
US20020124245A1: (file, , version)
US20020124245A1: (file, unique, )
US20020124245A1: (multiple, , version)
US20020124245A1: (model, licensing, )
US20020124245A1: (instal, single, )
US20020124245A1: (source, tree, )
US20020124245A1: (move, native, )
US20020124245A1: (software, native, )
US20020124245A1: (software, application installation package, )
US20020124245A1: (source, application installation package, )
US20020124245A1: (source, file system, )
US20020124245A1: (operating system, file system, )
US20020124245A1: (purpose, tree, )
US20020124245A1: (push, native, )
US20020124245A1: (installation package, native, )
US20020124245A1: (parameter, , xml)
US20020124245A1: (output, text, )
US20020124245A1: (deployment, target machine, )
US20020124245A1: (utilize, script, )
US20020124245A1: (generate, server database, )
US20020124245A1: (application, server database, )
US20020124245A1: (operating system, application software, )
US20020124245A1: (one, , detailed)
US20020124245A1: (configuration, target machine, )
US20020124245A1: (configuration, relational database, )
US20020124245A1: (database, hardware, )
US20020124245A1: (configuration, application software, )
US20020124245A1: (operating system, installation source, )
US20020124245A1: (identify, , version)
US20020124245A1: (volume, serial number, )
US20020124245A1: (create, serial number, )
US20020124245A1: (database, , record version)
US20020124245A1: (retrieve, information, )
US20020124245A1: (table, primary key, )
US20020124245A1: (operating system, language, )
US20020124245A1: (user, prompt, )
US20020124245A1: (operating system, unique code, )
US20020124245A1: (hold, hardware software, configuration attribute)
US20020124245A1: (hold, hardware software, )
US20020124245A1: (represent, entity, )
US20020124245A1: (manage, entity, )
US20020124245A1: (represent, , parameter value)
US20020124245A1: (perform, tree, )
US20020124245A1: (installation, , specific)
US20020124245A1: (application, license key, )
US20020124245A1: (configuration, license key, )
US20020124245A1: (many, hardware, )
US20020124245A1: (process, , customer)
US20020124245A1: (network, demographic, )
US20020124245A1: (use, , customer)
US20020124245A1: (configuration, network operating system, )
US20020124245A1: (selection, client, )
US20020124245A1: (base, browser, gui)
US20020124245A1: (application, browser, )
US20020124245A1: (base, browser, )
US20020124245A1: (base, , gui)
US20020124245A1: (secure, client interface, )
US20020124245A1: (access, client interface, )
US20020124245A1: (provide, , simple use)
US20020124245A1: (network, administrator, )
US20020124245A1: (model, administrator, )
US20020124245A1: (database, domain, )
US20020124245A1: (view, target machine, )
US20020124245A1: (support, hardware, configuration form)
US20020124245A1: (support, hardware, )
US20020124245A1: (compatible, , specific)
US20020124245A1: (software, , configuration form)
US20020124245A1: (installation, language, )
US20020124245A1: (patch, software system, )
US20020124245A1: (configuration, software system, )
US20020124245A1: (push, target machine, )
US20020124245A1: (operating system, target machine, )
US20020124245A1: (machine, , customer)
US20020124245A1: (site, , department)
US20020124245A1: (reflect, physical, )
US20020124245A1: (deployment, physical, )
US20020124245A1: (operating system, configuration file, )
US20020124245A1: (operating system, configuration file, )
US20020124245A1: (launch, , specific)
US20020124245A1: (progress, , milestone)
US20020124245A1: (use, execution environment, specific target)
US20020124245A1: (use, execution environment, )
US20020124245A1: (identify, hardware, )
US20020124245A1: (element, hardware, )
US20020124245A1: (represent, data key, )
US20020124245A1: (deliver, parameter file, )
US20020124245A1: (deliver, server, )
US20020124245A1: (service, server, )
US20020124245A1: (operating system, client, )
US20020124245A1: (execute, client, )
US20020124245A1: (exist, bit operating system, )
US20020124245A1: (perform, backup system, root directory)
US20020124245A1: (verify, disk, )
US20020124245A1: (partition, disk, )
US20020124245A1: (rollback, , requirement)
US20020124245A1: (perform, backup system, )
US20020124245A1: (file, local network, )
US20020124245A1: (perform, backup, )
US20020124245A1: (registry, backup, )
US20020124245A1: (operating system, installation source directory, )
US20020124245A1: (install, backup, )
US20020124245A1: (window, backup, )
US20020124245A1: (file allocation, boot sector, )
US20020124245A1: (user, backup, )
===========================
US20040168156A1: (conjunction, instrumentation, )
US20040168156A1: (provide, first call, )
US20040168156A1: (second, first call, )
US20040168156A1: (location, , relative)
US20040168156A1: (location, first call, )
US20040168156A1: (program, instrumentation, )
US20040168156A1: (call, first function, )
US20040168156A1: (second, first function, )
US20040168156A1: (second, call function, )
US20040168156A1: (cause, call function, )
US20040168156A1: (function, first call, )
US20040168156A1: (function, first call, )
US20040168156A1: (medium, first call, )
US20040168156A1: (instruction, computer, )
US20040168156A1: (perform, computer, )
US20020199172A1: (collect, event occurrence, within)
US20020199172A1: (collect, event occurrence, )
US20020199172A1: (provide, target computer, )
US20020199172A1: (system, target computer, )
US20020199172A1: (point, function entry, )
US20020199172A1: (begin, function entry, )
US20020199172A1: (proxy, , routine)
US20020199172A1: (instruction, function entry, )
US20020199172A1: (trace, , routine)
US20020199172A1: (collection, event, )
US20020199172A1: (instrument, event, )
US20020199172A1: (instrument, program code, )
US20020199172A1: (load, program code, )
US20020199172A1: (execution, computer, )
US20020199172A1: (point, , within)
US20020199172A1: (load, memory space, )
US20020199172A1: (begin, , predefined)
US20020199172A1: (select, event, )
US20020199172A1: (trace, event, )
US20020199172A1: (provide, , direction)
US20020199172A1: (function, computer, )
US20020199172A1: (call, , predefined)
US20020199172A1: (occurrence, event, within)
US20020199172A1: (collect, event, )
US20020199172A1: (data connection, event, )
US20020199172A1: (occurrence, event, )
US20020199172A1: (program, target computer, )
US20020199172A1: (determine, event, surveillance)
US20020199172A1: (determine, event, )
US20020199172A1: (program, event, )
US20020199172A1: (survey, event, )
US20020199172A1: (program, , routine)
